,Title,Artists,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Cluster
121,Tangled up in Blue,Bob Dylan,0.42100000000000004,0.6609999999999999,-13.126,0.0433,0.414,1.16e-06,0.0962,0.5539999999999999,100.965,341627,1
122,The Sound of Silence - Electric Version,Simon & Garfunkel,0.44,0.466,-9.712,0.0284,0.17,1.03e-06,0.11800000000000001,0.5429999999999999,107.744,185253,2
123,Great Balls Of Fire,Jerry Lee Lewis,0.563,0.508,-15.044,0.0638,0.41600000000000004,0.0,0.526,0.8490000000000001,79.436,110867,3
124,Rehab,Amy Winehouse,0.42,0.873,-2.963,0.0685,0.0408,2.17e-06,0.568,0.728,72.858,213760,3
125,Maybellene - Single Version,Chuck Berry,0.757,0.7609999999999999,-10.692,0.139,0.772,0.0,0.191,0.7709999999999999,118.181,143240,0
126,Green Onions - 45 Version,Booker T. & the M.G.'s,0.7879999999999999,0.38,-15.179,0.0346,0.8109999999999999,0.9059999999999999,0.102,0.892,138.205,167385,5
127,Born Slippy (Nuxx),Underworld,0.5760000000000001,0.953,-8.968,0.0362,0.00106,0.49,0.474,0.303,140.042,456480,3
128,Maggie May,Rod Stewart,0.605,0.574,-10.536,0.0377,0.5589999999999999,0.113,0.0684,0.5429999999999999,129.44899999999998,350267,0
129,Creep,Radiohead,0.532,0.344,-13.057,0.035,0.00563,0.00047300000000000006,0.115,0.126,91.834,235667,1
130,Live Forever,Oasis,0.14300000000000002,0.7809999999999999,-5.442,0.0354,1.26e-05,7.09e-06,0.371,0.22899999999999998,90.06299999999999,276867,2
131,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers,0.649,0.6729999999999999,-9.35,0.0638,0.249,0.0351,0.726,0.5870000000000001,78.535,427800,3
132,Won't Get Fooled Again - Original Album Version,The Who,0.6859999999999999,0.92,-6.231,0.0566,0.301,0.27,0.0807,0.225,135.02700000000002,511400,2
133,My Girl - Single Version/Mono,The Temptations,0.5710000000000001,0.593,-4.75,0.0453,0.5579999999999999,0.0,0.257,0.5720000000000001,105.014,175813,0
134,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees,0.7040000000000001,0.8340000000000001,-7.131,0.0358,0.0291,0.00492,0.147,0.9229999999999999,103.555,285373,0
135,Be-Bop-A-Lula,Gene Vincent & His Blue Caps,0.607,0.561,-10.099,0.0425,0.42100000000000004,0.0,0.298,0.841,127.63799999999999,157207,0
136,"Oh, Pretty Woman",Roy Orbison,0.693,0.488,-14.338,0.0346,0.40399999999999997,4.72e-06,0.0985,0.97,125.34,178787,0
137,Brown Sugar,The Rolling Stones,0.65,0.831,-6.721,0.031,0.107,0.00032,0.0773,0.965,128.56,229760,0
138,Time to Pretend,MGMT,0.43799999999999994,0.94,-3.2489999999999997,0.0452,8.740000000000001e-05,0.0777,0.3,0.42100000000000004,100.99,261000,2
139,Marquee Moon - Remastered,Television,0.494,0.657,-7.542999999999999,0.0397,0.0632,0.449,0.0849,0.737,118.194,645000,5
140,Last Nite,The Strokes,0.624,0.91,-5.702999999999999,0.0297,0.0285,0.000198,0.0789,0.767,104.042,193051,0
141,Purple Rain,Prince,0.371,0.532,-8.736,0.0315,0.0527,0.00591,0.677,0.183,112.92299999999999,527827,3
142,Psycho Killer - 2005 Remaster,Talking Heads,0.721,0.521,-8.123,0.0612,0.0707,0.005520000000000001,0.127,0.9420000000000001,123.118,261413,0
143,Tomorrow Never Knows - Remastered,The Beatles,0.38,0.8290000000000001,-6.105,0.0405,8.4e-05,0.0020800000000000003,0.342,0.0534,125.887,179547,2
144,Kids,MGMT,0.451,0.9309999999999999,-3.8710000000000004,0.0719,0.0007599999999999999,0.0049,0.361,0.172,122.961,302840,2
145,Song 2 - 2012 Remaster,Blur,0.674,0.789,-6.903,0.0676,0.0017800000000000001,0.0071,0.0754,0.9179999999999999,129.804,121160,0
146,Honky Tonk Women - Mono Version,The Rolling Stones,0.5579999999999999,0.71,-8.521,0.0621,0.435,0.0144,0.0838,0.963,120.435,179693,0
147,I Bet You Look Good On The Dancefloor,Arctic Monkeys,0.535,0.948,-4.19,0.0356,0.00225,0.0,0.376,0.778,103.18299999999999,173680,3
148,Jailhouse Rock,Elvis Presley,0.654,0.619,-8.562000000000001,0.0818,0.431,1.08e-06,0.0608,0.9,166.84099999999998,146413,0
149,Maps,Yeah Yeah Yeahs,0.523,0.9390000000000001,-5.972,0.0619,0.0008029999999999999,0.201,0.544,0.16399999999999998,119.839,219760,3
150,When a Man Loves a Woman,Percy Sledge,0.516,0.15,-20.41,0.0272,0.13,0.0755,0.122,0.20600000000000002,97.398,173867,1
151,Baba O'Riley,The Who,0.489,0.7240000000000001,-8.367,0.0352,0.313,0.185,0.287,0.15,117.292,300400,2
152,Get It On,T. Rex,0.73,0.867,-6.818,0.0601,0.187,0.759,0.222,0.903,126.431,265636,5
153,Will You Still Love Me Tomorrow,The Shirelles,0.574,0.44,-7.847,0.0314,0.654,3.3600000000000004e-05,0.302,0.648,136.92700000000002,163773,1
154,White Rabbit,Jefferson Airplane,0.551,0.293,-12.503,0.0272,0.486,0.000273,0.0864,0.322,106.79799999999999,150640,1
155,Tainted Love,Soft Cell,0.5,0.501,-8.283999999999999,0.0376,0.462,0.0,0.26,0.623,144.438,153800,2
156,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z,0.495,0.9329999999999999,-3.977,0.395,0.0294,0.0,0.503,0.815,173.41400000000002,277400,4
157,I Walk The Line - Single Version,Johnny Cash,0.863,0.382,-14.34,0.0464,0.777,0.00103,0.109,0.7440000000000001,105.766,163027,1
158,Like a Prayer,Madonna,0.66,0.629,-12.359000000000002,0.0387,0.43200000000000005,7.3e-05,0.172,0.324,111.926,340867,1
159,In My Life - Remastered,The Beatles,0.688,0.435,-11.359000000000002,0.0323,0.449,0.0,0.113,0.435,103.23899999999999,146333,1
160,Teenage Kicks,The Undertones,0.41,0.737,-8.07,0.0426,0.000685,0.0,0.19699999999999998,0.555,134.991,148187,2
161,(Don't Fear) The Reaper,Blue Öyster Cult,0.368,0.9279999999999999,-8.369,0.0593,0.00125,0.0011099999999999999,0.301,0.532,141.175,308440,2
162,Help! - Remastered,The Beatles,0.534,0.725,-7.5760000000000005,0.0332,0.188,0.0,0.0994,0.763,95.00299999999999,139560,0
163,Wuthering Heights,Kate Bush,0.48100000000000004,0.392,-11.380999999999998,0.0312,0.366,0.0452,0.124,0.52,124.572,269067,1
164,Virginia Plain,Roxy Music,0.588,0.708,-7.8229999999999995,0.0351,0.445,3.9399999999999995e-05,0.293,0.579,131.197,178376,0
165,Roadrunner (Twice),Jonathan Richman & The Modern Lovers,0.462,0.831,-6.547999999999999,0.0355,5.3400000000000004e-05,6.97e-05,0.125,0.863,75.541,245453,0
166,There She Goes,The La's,0.5329999999999999,0.7609999999999999,-10.632,0.0298,0.013000000000000001,0.8290000000000001,0.207,0.917,122.777,162187,5
167,I Wanna Be Your Dog,The Stooges,0.527,0.871,-8.708,0.0354,0.0229,0.155,0.419,0.107,120.72200000000001,188560,2
168,Sunday Bloody Sunday,U2,0.5429999999999999,0.9359999999999999,-8.85,0.0505,0.37799999999999995,0.000662,0.0446,0.752,101.678,276573,0
169,Umbrella,Rihanna,0.583,0.8290000000000001,-4.603,0.134,0.00864,0.0,0.0426,0.575,174.028,275987,2
170,Smoke On the Water,Deep Purple,0.598,0.6759999999999999,-9.211,0.0279,0.13,0.225,0.11199999999999999,0.805,114.169,340742,0
171,While My Guitar Gently Weeps - Remastered,The Beatles,0.45299999999999996,0.654,-8.855,0.0317,0.0205,0.00395,0.172,0.7020000000000001,115.0,285000,2
172,Into the Groove,Madonna,0.7290000000000001,0.856,-4.164,0.035,0.0658,0.008320000000000001,0.0691,0.804,116.46700000000001,285093,0
173,Family Affair - Single Version,Sly & The Family Stone,0.8190000000000001,0.605,-13.83,0.132,0.669,0.0163,0.19899999999999998,0.797,108.89200000000001,185533,0
174,(White Man) In Hammersmith Palais,The Clash,0.654,0.753,-5.3229999999999995,0.0441,0.237,2.81e-06,0.0491,0.757,102.743,239747,0
175,Eleanor Rigby - Remastered,The Beatles,0.581,0.28,-9.091000000000001,0.0381,0.9359999999999999,1.56e-05,0.305,0.813,137.83100000000002,126533,1
176,Sunshine Of Your Love,Cream,0.684,0.48100000000000004,-12.59,0.0384,0.475,6.57e-05,0.11800000000000001,0.784,115.07799999999999,250000,0
